run1_id,run2_id,ari_score,run1_sample,run1_network_method,run1_community_method,run1_param_id,run1_n_communities,run2_sample,run2_network_method,run2_community_method,run2_param_id,run2_n_communities,same_sample,same_network_method,same_community_method,same_param_id,common_outlets,comparison_type
sample_02_cosine_spectral_clustering_params_0,sample_19_lift_spectral_clustering_params_5,-0.07591028969803529,sample_02,cosine,spectral_clustering,params_0,2,sample_19,lift,spectral_clustering,params_5,8,False,False,True,False,49,diff_method_diff_sample
sample_01_conditional_probability_walktrap_params_4,sample_11_pmi_spectral_clustering_params_3,-0.04034816562271211,sample_01,conditional_probability,walktrap,params_4,2,sample_11,pmi,spectral_clustering,params_3,5,False,False,False,False,49,diff_method_diff_sample
sample_03_correlation_spectral_clustering_params_11,sample_06_jaccard_girvan_newman_params_0,-0.00642363242093204,sample_03,correlation,spectral_clustering,params_11,8,sample_06,jaccard,girvan_newman,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_02_lift_spectral_clustering_params_10,sample_17_dice_leiden_params_0,-0.014177282910355435,sample_02,lift,spectral_clustering,params_10,5,sample_17,dice,leiden,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_13_dice_louvain_params_7,sample_18_dice_walktrap_params_0,0.07893454378367841,sample_13,dice,louvain,params_7,20,sample_18,dice,walktrap,params_0,2,False,True,False,False,49,diff_method_diff_sample
sample_05_dice_louvain_params_5,sample_16_pmi_spectral_clustering_params_9,0.02811153068619598,sample_05,dice,louvain,params_5,6,sample_16,pmi,spectral_clustering,params_9,3,False,False,False,False,49,diff_method_diff_sample
sample_06_tfidf_similarity_walktrap_params_4,sample_18_cosine_spectral_clustering_params_11,0.08463149936207412,sample_06,tfidf_similarity,walktrap,params_4,2,sample_18,cosine,spectral_clustering,params_11,8,False,False,False,False,49,diff_method_diff_sample
sample_07_conditional_probability_spectral_clustering_params_0,sample_11_lift_spectral_clustering_params_7,-0.10537397232805294,sample_07,conditional_probability,spectral_clustering,params_0,2,sample_11,lift,spectral_clustering,params_7,5,False,False,True,False,49,diff_method_diff_sample
sample_13_conditional_probability_walktrap_params_5,sample_17_dice_spectral_clustering_params_1,0.39532311308525897,sample_13,conditional_probability,walktrap,params_5,2,sample_17,dice,spectral_clustering,params_1,3,False,False,False,False,49,diff_method_diff_sample
sample_03_dice_fast_greedy_params_1,sample_09_lift_spectral_clustering_params_11,-0.011419641783868253,sample_03,dice,fast_greedy,params_1,2,sample_09,lift,spectral_clustering,params_11,8,False,False,False,False,49,diff_method_diff_sample
sample_13_jaccard_louvain_params_5,sample_17_cooccurrence_walktrap_params_4,0.22087940344561585,sample_13,jaccard,louvain,params_5,6,sample_17,cooccurrence,walktrap,params_4,2,False,False,False,False,49,diff_method_diff_sample
sample_03_conditional_probability_spectral_clustering_params_8,sample_09_jaccard_spectral_clustering_params_2,0.22152133122654552,sample_03,conditional_probability,spectral_clustering,params_8,8,sample_09,jaccard,spectral_clustering,params_2,4,False,False,True,False,49,diff_method_diff_sample
sample_02_conditional_probability_spectral_clustering_params_0,sample_04_jaccard_spectral_clustering_params_4,0.07802168738428987,sample_02,conditional_probability,spectral_clustering,params_0,2,sample_04,jaccard,spectral_clustering,params_4,6,False,False,True,False,49,diff_method_diff_sample
sample_03_dice_threshold_components_params_0,sample_06_cosine_girvan_newman_params_0,-0.020833333333333332,sample_03,dice,threshold_components,params_0,2,sample_06,cosine,girvan_newman,params_0,2,False,False,False,True,49,diff_method_diff_sample
sample_09_jaccard_louvain_params_6,sample_10_tfidf_similarity_spectral_clustering_params_5,0.13540349101947888,sample_09,jaccard,louvain,params_6,8,sample_10,tfidf_similarity,spectral_clustering,params_5,8,False,False,False,False,49,diff_method_diff_sample
sample_08_cosine_spectral_clustering_params_2,sample_10_conditional_probability_walktrap_params_3,0.2484414684830293,sample_08,cosine,spectral_clustering,params_2,4,sample_10,conditional_probability,walktrap,params_3,2,False,False,False,False,49,diff_method_diff_sample
sample_02_conditional_probability_walktrap_params_0,sample_08_pmi_spectral_clustering_params_8,-0.003453419153710746,sample_02,conditional_probability,walktrap,params_0,3,sample_08,pmi,spectral_clustering,params_8,8,False,False,False,False,49,diff_method_diff_sample
sample_13_correlation_spectral_clustering_params_0,sample_15_dice_spectral_clustering_params_7,0.2696550270498138,sample_13,correlation,spectral_clustering,params_0,2,sample_15,dice,spectral_clustering,params_7,5,False,False,True,False,49,diff_method_diff_sample
sample_14_tfidf_similarity_threshold_components_params_1,sample_17_cooccurrence_louvain_params_5,0.004736096870270007,sample_14,tfidf_similarity,threshold_components,params_1,2,sample_17,cooccurrence,louvain,params_5,5,False,False,False,False,49,diff_method_diff_sample
sample_16_dice_walktrap_params_5,sample_19_lift_spectral_clustering_params_4,-0.15861576234569652,sample_16,dice,walktrap,params_5,2,sample_19,lift,spectral_clustering,params_4,6,False,False,False,False,49,diff_method_diff_sample
